ID_Transaccion,Fecha,ID_Cliente,Nombre_Cliente,Categoria_Producto,Producto,Cantidad,Precio_Unitario,Descuento_Porcentaje,Total_Bruto,Total_Neto,Metodo_Pago,Region,Estado_Envio,Valoracion_Cliente,Tiempo_Entrega_Dias
TXN000040,2023-11-04,CLT1781,Carmen Ruiz,Juguetes,Coche RC,2,50.19,20,100.38,80.3,Tarjeta Débito,Madrid,Entregado,3.0,14.0
TXN000041,2023-11-05,CLT1458,Manuel Álvarez,Electrónica,Laptop,4,546.01,0,2184.04,2184.04,PayPal,Madrid,Entregado,4.0,15.0
TXN000042,2023-11-05,CLT4342,Carlos Martínez,Libros,Biografía,1,25.68,10,25.68,23.11,Tarjeta Débito,Sevilla,Entregado,5.0,7.0
TXN000043,2023-11-05,CLT1065,Carmen Ruiz,Ropa,Jersey,4,31.8,10,127.2,114.48,Tarjeta Crédito,Barcelona,Entregado,4.0,7.0
TXN000044,2023-11-05,CLT3850,Pilar Romero,Ropa,Chaqueta,2,37.66,0,75.32,75.32,Tarjeta Débito,Sevilla,Entregado,4.0,7.0
TXN000045,2023-11-05,CLT4975,Francisco Díaz,Juguetes,Coche RC,2,47.2,20,94.4,75.52,Tarjeta Débito,Sevilla,Entregado,5.0,4.0
TXN000046,2023-11-05,CLT1770,Francisco Díaz,Deportes,Raqueta Tenis,1,28.2,5,28.2,26.79,PayPal,Barcelona,Entregado,5.0,11.0
TXN000047,2023-11-05,CLT4518,Juan García,Ropa,Chaqueta,2,64.64,0,129.28,129.28,Tarjeta Crédito,Valencia,En Tránsito,4.0,9.0
TXN000048,2023-11-05,CLT1109,Manuel Álvarez,Electrónica,Auriculares,5,53.43,15,267.15,227.08,Tarjeta Crédito,Barcelona,Entregado,4.0,9.0
TXN000049,2023-11-05,CLT1857,Francisco Díaz,Electrónica,Smartwatch,2,268.05,0,536.1,536.1,Transferencia,Málaga,Entregado,5.0,3.0
TXN000050,2023-11-05,CLT2970,Laura Fernández,Ropa,Jersey,4,57.89,10,231.56,208.4,Tarjeta Débito,Barcelona,En Tránsito,,13.0
TXN000051,2023-11-05,CLT3656,Francisco Díaz,Libros,Libro Cocina,4,23.14,0,92.56,92.56,Tarjeta Crédito,Madrid,En Tránsito,4.0,11.0
TXN000052,2023-11-05,CLT1594,Ana Rodríguez,Ropa,Jersey,4,41.44,15,165.76,140.9,Tarjeta Débito,Barcelona,Entregado,5.0,4.0
TXN000053,2023-11-06,CLT3661,Dolores Jiménez,Libros,Guía Viaje,4,19.63,5,78.52,74.59,Transferencia,Sevilla,Entregado,,10.0
TXN000054,2023-11-06,CLT1990,Francisco Díaz,Hogar,Cortinas,5,57.21,10,286.05,257.44,PayPal,Sevilla,Entregado,4.0,9.0
TXN000055,2023-11-06,CLT2784,Carlos Martínez,Libros,Novela,3,17.61,0,52.83,52.83,Tarjeta Débito,Málaga,Entregado,4.0,13.0
TXN000056,2023-11-06,CLT4449,Laura Fernández,Ropa,Jersey,1,98.0,10,98.0,88.2,Tarjeta Crédito,Bilbao,Entregado,5.0,6.0
TXN000057,2023-11-06,CLT3564,Carlos Martínez,Juguetes,Puzzle,4,36.56,15,146.24,124.3,PayPal,Barcelona,En Tránsito,2.0,12.0
TXN000058,2023-11-06,CLT4515,María López,Ropa,Camiseta,2,77.57,5,155.14,147.38,Tarjeta Débito,Barcelona,Entregado,4.0,9.0
TXN000059,2023-11-06,CLT4235,Antonio Moreno,Ropa,Vestido,4,57.09,10,228.36,205.52,PayPal,Sevilla,Entregado,4.0,3.0
TXN000060,2023-11-06,CLT3206,Carlos Martínez,Juguetes,LEGO,2,67.95,5,135.9,129.1,Tarjeta Crédito,Bilbao,Entregado,4.0,1.0
TXN000061,2023-11-06,CLT1781,Antonio Moreno,Ropa,Chaqueta,2,35.69,15,71.38,60.67,Tarjeta Crédito,Barcelona,Entregado,3.0,3.0
TXN000062,2023-11-06,CLT1352,Antonio Moreno,Electrónica,Smartwatch,4,618.87,5,2475.48,2351.71,Tarjeta Débito,Barcelona,Entregado,5.0,10.0
TXN000063,2023-11-06,CLT2232,Pilar Romero,Hogar,Sartén,5,107.57,15,537.85,457.17,Tarjeta Crédito,Bilbao,Entregado,,8.0
TXN000064,2023-11-06,CLT4152,Carmen Ruiz,Electrónica,Laptop,2,736.01,15,1472.02,1251.22,Tarjeta Débito,Barcelona,Entregado,4.0,8.0
TXN000065,2023-11-07,CLT2898,Ana Rodríguez,Hogar,Lámpara,2,128.24,5,256.48,243.66,Transferencia,Valencia,Entregado,2.0,10.0
TXN000066,2023-11-07,CLT1606,Pilar Romero,Hogar,Cojín,4,47.75,0,191.0,191.0,Tarjeta Débito,Bilbao,Entregado,5.0,13.0
TXN000067,2023-11-07,CLT2941,José Navarro,Deportes,Pesas,2,206.75,5,413.5,392.82,PayPal,Bilbao,Entregado,4.0,11.0
TXN000068,2023-11-07,CLT2728,Manuel Álvarez,Hogar,Sartén,2,43.84,15,87.68,74.53,Tarjeta Débito,Madrid,Entregado,5.0,15.0
TXN000069,2023-11-07,CLT1089,Dolores Jiménez,Juguetes,Puzzle,4,16.31,0,65.24,65.24,PayPal,Barcelona,Entregado,5.0,3.0
TXN000070,2023-11-07,CLT1477,Carlos Martínez,Ropa,Vestido,4,73.7,5,294.8,280.06,PayPal,Barcelona,Entregado,,6.0
TXN000071,2023-11-07,CLT1680,Francisco Díaz,Juguetes,Puzzle,1,36.1,15,36.1,30.68,Tarjeta Débito,Bilbao,En Tránsito,3.0,11.0
TXN000072,2023-11-07,CLT4696,Carmen Ruiz,Ropa,Pantalón,5,87.36,0,436.8,436.8,Tarjeta Débito,Málaga,Entregado,3.0,11.0
TXN000073,2023-11-07,CLT1624,Miguel Torres,Juguetes,Puzzle,5,32.39,10,161.95,145.76,Tarjeta Débito,Sevilla,En Tránsito,4.0,6.0
TXN000074,2023-11-07,CLT4026,Pilar Romero,Libros,Novela,2,25.76,0,51.52,51.52,Tarjeta Débito,Valencia,Entregado,4.0,9.0
TXN000075,2023-11-07,CLT3877,Ana Rodríguez,Juguetes,Puzzle,5,33.19,0,165.95,165.95,Tarjeta Crédito,Madrid,Entregado,,6.0
TXN000076,2023-11-07,CLT2823,Pedro Sánchez,Electrónica,Laptop,2,713.54,15,1427.08,1213.02,PayPal,Sevilla,Entregado,,3.0
TXN000077,2023-11-07,CLT4947,Juan García,Electrónica,Auriculares,1,497.47,0,497.47,497.47,Transferencia,Barcelona,En Tránsito,5.0,13.0
TXN000078,2023-11-07,CLT2986,Miguel Torres,Deportes,Cuerda Saltar,4,212.27,0,849.08,849.08,Tarjeta Débito,Valencia,En Tránsito,4.0,11.0
TXN000079,2023-11-07,CLT2931,Pedro Sánchez,Hogar,Lámpara,4,125.41,15,501.64,426.39,Tarjeta Débito,Valencia,En Tránsito,5.0,13.0
TXN000080,2023-11-07,CLT1080,Miguel Torres,Libros,Comic,4,24.75,0,99.0,99.0,Tarjeta Débito,Valencia,Entregado,4.0,14.0
TXN000081,2023-11-08,CLT4521,José Navarro,Libros,Biografía,5,13.08,20,65.4,52.32,Tarjeta Débito,Málaga,En Tránsito,,13.0
TXN000082,2023-11-08,CLT2841,Francisco Díaz,Juguetes,LEGO,1,61.29,20,61.29,49.03,Tarjeta Débito,Madrid,En Tránsito,4.0,2.0
TXN000083,2023-11-08,CLT3397,Miguel Torres,Ropa,Camiseta,5,29.93,0,149.65,149.65,PayPal,Sevilla,Entregado,3.0,11.0
TXN000084,2023-11-08,CLT1993,José Navarro,Juguetes,Coche RC,5,51.18,0,255.9,255.9,Tarjeta Crédito,Barcelona,Entregado,5.0,5.0
TXN000085,2023-11-08,CLT1824,Isabel Gómez,Electrónica,Laptop,1,350.83,10,350.83,315.75,Tarjeta Crédito,Sevilla,Entregado,5.0,3.0
TXN000086,2023-11-08,CLT2207,Isabel Gómez,Juguetes,Peluche,1,67.56,5,67.56,64.18,PayPal,Sevilla,Entregado,5.0,3.0
TXN000087,2023-11-08,CLT3332,Laura Fernández,Ropa,Zapatos,1,60.58,0,60.58,60.58,Tarjeta Débito,Madrid,Entregado,3.0,11.0
TXN000088,2023-11-08,CLT4397,Carlos Martínez,Juguetes,Peluche,1,73.62,10,73.62,66.26,PayPal,Barcelona,En Tránsito,5.0,13.0
TXN000089,2023-11-08,CLT4415,Dolores Jiménez,Juguetes,LEGO,4,35.39,0,141.56,141.56,Tarjeta Crédito,Madrid,En Tránsito,5.0,12.0
TXN000090,2023-11-08,CLT2604,Pedro Sánchez,Juguetes,Puzzle,3,47.6,15,142.8,121.38,Tarjeta Crédito,Madrid,Pendiente,5.0,
TXN000091,2023-11-09,CLT1208,Juan García,Electrónica,Auriculares,3,217.58,0,652.74,652.74,Transferencia,Sevilla,Entregado,5.0,4.0
TXN000092,2023-11-09,CLT2367,María López,Ropa,Zapatos,1,90.07,0,90.07,90.07,Tarjeta Crédito,Madrid,Entregado,5.0,6.0
TXN000093,2023-11-09,CLT1032,Pedro Sánchez,Electrónica,Tablet,3,269.42,0,808.26,808.26,PayPal,Valencia,Entregado,4.0,2.0
TXN000094,2023-11-09,CLT1420,Dolores Jiménez,Juguetes,Coche RC,3,54.97,20,164.91,131.93,PayPal,Madrid,Entregado,3.0,7.0
TXN000095,2023-11-09,CLT3582,Francisco Díaz,Ropa,Camiseta,1,98.81,10,98.81,88.93,Tarjeta Débito,Valencia,Entregado,4.0,14.0
TXN000096,2023-11-09,CLT4471,Antonio Moreno,Electrónica,Cámara,3,110.62,15,331.86,282.08,Tarjeta Crédito,Sevilla,Entregado,5.0,4.0
TXN000097,2023-11-09,CLT3920,Pedro Sánchez,Hogar,Cojín,5,23.13,0,115.65,115.65,Tarjeta Débito,Barcelona,Entregado,3.0,8.0
TXN000098,2023-11-09,CLT2768,Ana Rodríguez,Juguetes,LEGO,2,73.33,0,146.66,146.66,PayPal,Valencia,Entregado,4.0,5.0
TXN000099,2023-11-09,CLT2702,José Navarro,Juguetes,Coche RC,2,68.36,0,136.72,136.72,Tarjeta Crédito,Bilbao,Entregado,5.0,6.0
TXN000100,2023-11-09,CLT4475,Dolores Jiménez,Ropa,Jersey,1,38.09,5,38.09,36.19,Tarjeta Crédito,Madrid,Pendiente,4.0,
TXN000101,2023-11-09,CLT3030,Carmen Ruiz,Ropa,Chaqueta,4,88.35,5,353.4,335.73,Tarjeta Crédito,Sevilla,Entregado,3.0,15.0
TXN000102,2023-11-09,CLT4019,Carmen Ruiz,Ropa,Chaqueta,1,29.25,10,29.25,26.32,Tarjeta Crédito,Barcelona,Entregado,5.0,3.0
TXN000103,2023-11-09,CLT3370,María López,Ropa,Zapatos,4,103.75,0,415.0,415.0,PayPal,Madrid,Pendiente,3.0,
TXN000104,2023-11-09,CLT3440,Juan García,Juguetes,Peluche,2,42.98,20,85.96,68.77,PayPal,Valencia,Entregado,4.0,4.0
TXN000105,2023-11-10,CLT3994,Manuel Álvarez,Deportes,Esterilla Yoga,1,90.05,0,90.05,90.05,Transferencia,Madrid,Entregado,4.0,2.0
TXN000106,2023-11-10,CLT3270,Miguel Torres,Deportes,Raqueta Tenis,5,256.84,20,1284.2,1027.36,Tarjeta Débito,Bilbao,Entregado,4.0,11.0
TXN000107,2023-11-10,CLT2191,Carlos Martínez,Hogar,Cojín,3,126.26,0,378.78,378.78,PayPal,Madrid,Entregado,4.0,6.0
TXN000108,2023-11-10,CLT1151,Carlos Martínez,Ropa,Chaqueta,4,90.51,5,362.04,343.94,Tarjeta Crédito,Madrid,Entregado,,13.0
TXN000109,2023-11-10,CLT2996,Isabel Gómez,Juguetes,LEGO,3,23.34,0,70.02,70.02,Tarjeta Débito,Valencia,En Tránsito,5.0,7.0
TXN000110,2023-11-10,CLT2637,Pilar Romero,Electrónica,Tablet,3,712.23,5,2136.69,2029.86,Tarjeta Débito,Valencia,Entregado,4.0,3.0
TXN000111,2023-11-10,CLT2991,Carlos Martínez,Ropa,Chaqueta,1,18.02,5,18.02,17.12,Transferencia,Sevilla,Entregado,4.0,5.0
TXN000112,2023-11-10,CLT3102,Manuel Álvarez,Hogar,Alfombra,3,26.59,5,79.77,75.78,PayPal,Barcelona,Entregado,4.0,13.0
TXN000113,2023-11-10,CLT3420,Manuel Álvarez,Juguetes,LEGO,5,42.06,5,210.3,199.78,Transferencia,Bilbao,Entregado,2.0,3.0
TXN000114,2023-11-10,CLT3968,Ana Rodríguez,Ropa,Camiseta,3,76.86,10,230.58,207.52,PayPal,Málaga,Entregado,,15.0
TXN000115,2023-11-10,CLT3504,Miguel Torres,Electrónica,Smartphone,1,367.92,10,367.92,331.13,PayPal,Valencia,Entregado,4.0,4.0
TXN000116,2023-11-10,CLT4830,Manuel Álvarez,Ropa,Camiseta,5,78.37,15,391.85,333.07,Tarjeta Crédito,Sevilla,Entregado,5.0,7.0
TXN000117,2023-11-10,CLT3779,Carlos Martínez,Libros,Ensayo,2,8.54,0,17.08,17.08,PayPal,Valencia,Entregado,5.0,14.0
TXN000118,2023-11-10,CLT4707,Antonio Moreno,Electrónica,Laptop,3,742.21,10,2226.63,2003.97,Tarjeta Débito,Madrid,Entregado,5.0,10.0
TXN000119,2023-11-10,CLT4345,Miguel Torres,Deportes,Pesas,1,285.95,5,285.95,271.65,Tarjeta Crédito,Barcelona,Entregado,3.0,7.0
TXN000120,2023-11-10,CLT4553,Miguel Torres,Hogar,Cortinas,2,79.17,0,158.34,158.34,Tarjeta Crédito,Madrid,Entregado,4.0,1.0
TXN000121,2023-11-10,CLT2998,Carmen Ruiz,Electrónica,Tablet,2,301.69,5,603.38,573.21,Tarjeta Débito,Málaga,Entregado,3.0,12.0
TXN000122,2023-11-11,CLT1949,Ana Rodríguez,Deportes,Pesas,4,221.91,0,887.64,887.64,Tarjeta Crédito,Madrid,Entregado,5.0,14.0
TXN000123,2023-11-11,CLT3925,Ana Rodríguez,Hogar,Alfombra,5,85.58,0,427.9,427.9,Tarjeta Débito,Valencia,Entregado,4.0,15.0
TXN000124,2023-11-11,CLT1248,Pilar Romero,Deportes,Raqueta Tenis,3,276.03,0,828.09,828.09,Tarjeta Débito,Barcelona,En Tránsito,3.0,12.0
TXN000125,2023-11-11,CLT3163,Laura Fernández,Ropa,Jersey,1,58.97,0,58.97,58.97,Transferencia,Sevilla,Entregado,5.0,4.0
TXN000126,2023-11-11,CLT1077,María López,Electrónica,Cámara,4,652.87,10,2611.48,2350.33,PayPal,Madrid,Pendiente,4.0,
TXN000127,2023-11-11,CLT2728,Ana Rodríguez,Juguetes,Muñeca,5,76.75,10,383.75,345.38,Tarjeta Débito,Sevilla,Entregado,3.0,4.0
TXN000128,2023-11-11,CLT3360,Pedro Sánchez,Electrónica,Tablet,4,636.23,20,2544.92,2035.94,Tarjeta Crédito,Madrid,Pendiente,4.0,
TXN000129,2023-11-11,CLT2293,Carlos Martínez,Hogar,Alfombra,5,138.77,10,693.85,624.46,Tarjeta Crédito,Bilbao,Entregado,4.0,9.0
TXN000130,2023-11-12,CLT3266,José Navarro,Juguetes,Puzzle,5,32.98,0,164.9,164.9,Tarjeta Crédito,Bilbao,Entregado,,6.0
TXN000131,2023-11-12,CLT1260,Miguel Torres,Libros,Novela,3,25.75,15,77.25,65.66,Tarjeta Crédito,Sevilla,Pendiente,4.0,
TXN000132,2023-11-12,CLT2097,María López,Ropa,Jersey,5,30.99,15,154.95,131.71,Transferencia,Madrid,Entregado,5.0,3.0
TXN000133,2023-11-12,CLT4657,Dolores Jiménez,Deportes,Pesas,4,190.19,5,760.76,722.72,Tarjeta Débito,Madrid,En Tránsito,,4.0
TXN000134,2023-11-12,CLT3655,Dolores Jiménez,Deportes,Esterilla Yoga,5,103.38,5,516.9,491.05,Tarjeta Crédito,Bilbao,Entregado,4.0,1.0
TXN000135,2023-11-12,CLT2708,Carmen Ruiz,Deportes,Cuerda Saltar,3,60.53,20,181.59,145.27,Tarjeta Crédito,Madrid,Entregado,4.0,3.0
TXN000136,2023-11-12,CLT4641,Antonio Moreno,Hogar,Cortinas,3,43.26,5,129.78,123.29,Tarjeta Débito,Madrid,Entregado,3.0,4.0
TXN000137,2023-11-12,CLT2938,Carlos Martínez,Deportes,Pesas,4,57.1,20,228.4,182.72,Tarjeta Débito,Valencia,Entregado,,6.0
TXN000138,2023-11-12,CLT1478,Ana Rodríguez,Libros,Biografía,2,19.92,0,39.84,39.84,Tarjeta Crédito,Barcelona,Entregado,5.0,8.0
TXN000139,2023-11-12,CLT3026,Isabel Gómez,Electrónica,Laptop,2,504.78,0,1009.56,1009.56,Transferencia,Madrid,Cancelado,4.0,
TXN000140,2023-11-13,CLT3550,Carlos Martínez,Libros,Novela,5,10.98,5,54.9,52.15,Tarjeta Crédito,Valencia,En Tránsito,4.0,6.0
TXN000141,2023-11-13,CLT4845,Antonio Moreno,Libros,Biografía,1,23.94,5,23.94,22.74,Tarjeta Crédito,Barcelona,Entregado,,12.0
TXN000142,2023-11-13,CLT3646,Pedro Sánchez,Ropa,Vestido,5,81.01,15,405.05,344.29,Tarjeta Crédito,Madrid,Entregado,4.0,4.0
TXN000143,2023-11-13,CLT2420,Manuel Álvarez,Ropa,Camiseta,4,69.74,25,278.96,209.22,Tarjeta Débito,Valencia,Entregado,5.0,12.0
TXN000144,2023-11-13,CLT2836,Laura Fernández,Electrónica,Laptop,4,535.17,0,2140.68,2140.68,Tarjeta Crédito,Barcelona,Entregado,5.0,4.0
TXN000145,2023-11-13,CLT3857,Juan García,Juguetes,Peluche,4,72.04,0,288.16,288.16,Tarjeta Crédito,Sevilla,Entregado,5.0,6.0
TXN000146,2023-11-13,CLT2786,Antonio Moreno,Electrónica,Laptop,4,736.51,15,2946.04,2504.13,Tarjeta Crédito,Madrid,Entregado,,2.0
TXN000147,2023-11-13,CLT1085,María López,Juguetes,Puzzle,4,58.63,10,234.52,211.07,Tarjeta Débito,Valencia,Entregado,5.0,14.0
TXN000148,2023-11-13,CLT1660,Francisco Díaz,Ropa,Pantalón,3,84.77,0,254.31,254.31,Tarjeta Crédito,Barcelona,En Tránsito,,10.0
TXN000149,2023-11-13,CLT2179,Pedro Sánchez,Libros,Comic,2,21.06,5,42.12,40.01,Tarjeta Crédito,Barcelona,Entregado,5.0,11.0
TXN000150,2023-11-13,CLT3974,Francisco Díaz,Electrónica,Cámara,4,130.4,10,521.6,469.44,Tarjeta Crédito,Madrid,Entregado,2.0,1.0
TXN000151,2023-11-13,CLT1787,María López,Deportes,Esterilla Yoga,1,61.18,15,61.18,52.0,Tarjeta Crédito,Madrid,Entregado,3.0,10.0
TXN000152,2023-11-13,CLT2922,Manuel Álvarez,Juguetes,Puzzle,1,76.51,5,76.51,72.68,Tarjeta Débito,Bilbao,Entregado,5.0,15.0
TXN000153,2023-11-13,CLT2408,Antonio Moreno,Juguetes,Peluche,1,53.14,0,53.14,53.14,Tarjeta Crédito,Barcelona,Entregado,1.0,7.0
TXN000154,2023-11-13,CLT2794,Carmen Ruiz,Juguetes,Coche RC,1,67.01,20,67.01,53.61,Tarjeta Crédito,Sevilla,Entregado,5.0,15.0
TXN000155,2023-11-13,CLT1950,Isabel Gómez,Electrónica,Auriculares,3,210.22,10,630.66,567.59,Tarjeta Débito,Málaga,Entregado,5.0,3.0
TXN000156,2023-11-13,CLT3079,Ana Rodríguez,Deportes,Bicicleta,1,51.23,5,51.23,48.67,Tarjeta Crédito,Valencia,Pendiente,4.0,
TXN000157,2023-11-14,CLT1899,Antonio Moreno,Hogar,Espejo,4,29.78,0,119.12,119.12,Tarjeta Crédito,Barcelona,Entregado,4.0,10.0
TXN000158,2023-11-14,CLT3407,Isabel Gómez,Deportes,Balón Fútbol,5,228.22,10,1141.1,1026.99,Tarjeta Crédito,Barcelona,En Tránsito,3.0,12.0
TXN000159,2023-11-14,CLT4723,Pedro Sánchez,Libros,Libro Cocina,1,21.21,0,21.21,21.21,Transferencia,Málaga,Entregado,2.0,14.0
TXN000160,2023-11-14,CLT3805,Pilar Romero,Electrónica,Smartwatch,3,166.71,0,500.13,500.13,Tarjeta Débito,Sevilla,Entregado,5.0,2.0
TXN000161,2023-11-14,CLT2389,María López,Ropa,Zapatos,3,72.74,5,218.22,207.31,PayPal,Sevilla,En Tránsito,2.0,7.0
TXN000162,2023-11-14,CLT4775,Francisco Díaz,Libros,Libro Cocina,1,32.3,0,32.3,32.3,PayPal,Barcelona,Entregado,,13.0
TXN000163,2023-11-15,CLT3466,Dolores Jiménez,Juguetes,Coche RC,5,42.1,10,210.5,189.45,Transferencia,Bilbao,Entregado,4.0,11.0
TXN000164,2023-11-15,CLT4495,Carmen Ruiz,Libros,Comic,1,19.75,0,19.75,19.75,PayPal,Sevilla,Entregado,5.0,8.0
TXN000165,2023-11-15,CLT4450,Isabel Gómez,Ropa,Camiseta,3,96.15,10,288.45,259.6,Tarjeta Débito,Barcelona,En Tránsito,2.0,6.0
TXN000166,2023-11-15,CLT3929,Carlos Martínez,Electrónica,Laptop,2,473.66,0,947.32,947.32,Tarjeta Crédito,Valencia,Entregado,4.0,11.0
